input,target,trial_id,task_id
"[5.0, 3.0, 4.0]",biologicalstructures,52,373
"[3.0, 5.0, 6.0]",biologicalstructures,53,373
"[1.0, 2.0, 1.0]",plantparts,54,373
"[6.0, 4.0, 1.0]",plantparts,55,373
"[4.0, 1.0, 3.0]",plantparts,56,373
"[2.0, 5.0, 5.0]",biologicalstructures,57,373
"[5.0, 6.0, 1.0]",plantparts,58,373
"[3.0, 2.0, 3.0]",plantparts,59,373
"[1.0, 4.0, 2.0]",plantparts,60,373
"[6.0, 3.0, 6.0]",biologicalstructures,61,373
"[4.0, 5.0, 5.0]",biologicalstructures,62,373
"[2.0, 1.0, 2.0]",plantparts,63,373
"[5.0, 4.0, 3.0]",biologicalstructures,64,373
"[3.0, 6.0, 4.0]",plantparts,65,373
"[1.0, 3.0, 5.0]",biologicalstructures,66,373
"[6.0, 2.0, 4.0]",biologicalstructures,67,373
"[4.0, 3.0, 1.0]",plantparts,68,373
"[2.0, 5.0, 1.0]",biologicalstructures,69,373
"[5.0, 1.0, 6.0]",biologicalstructures,70,373
"[3.0, 4.0, 2.0]",plantparts,71,373
"[1.0, 6.0, 3.0]",plantparts,72,373
"[6.0, 5.0, 5.0]",biologicalstructures,73,373
"[4.0, 2.0, 4.0]",plantparts,74,373
"[2.0, 3.0, 5.0]",biologicalstructures,75,373
"[5.0, 6.0, 4.0]",plantparts,76,373
"[3.0, 1.0, 3.0]",plantparts,77,373
"[1.0, 5.0, 1.0]",biologicalstructures,78,373
"[6.0, 4.0, 2.0]",plantparts,79,373
"[4.0, 3.0, 5.0]",biologicalstructures,80,373
"[2.0, 2.0, 6.0]",biologicalstructures,81,373
"[5.0, 4.0, 2.0]",plantparts,82,373
"[3.0, 5.0, 3.0]",plantparts,83,373
"[1.0, 2.0, 2.0]",plantparts,84,373
"[6.0, 1.0, 4.0]",biologicalstructures,85,373
"[4.0, 6.0, 3.0]",plantparts,86,373
"[2.0, 4.0, 5.0]",biologicalstructures,87,373
"[5.0, 3.0, 1.0]",plantparts,88,373
"[3.0, 2.0, 5.0]",biologicalstructures,89,373
"[1.0, 1.0, 3.0]",plantparts,90,373
"[6.0, 5.0, 1.0]",plantparts,91,373
"[4.0, 4.0, 6.0]",biologicalstructures,92,373
"[2.0, 6.0, 1.0]",plantparts,93,373
"[5.0, 2.0, 4.0]",biologicalstructures,94,373
"[3.0, 4.0, 1.0]",plantparts,95,373
"[1.0, 3.0, 2.0]",plantparts,96,373
"[6.0, 2.0, 3.0]",plantparts,97,373
"[4.0, 5.0, 3.0]",biologicalstructures,98,373
"[2.0, 1.0, 4.0]",biologicalstructures,99,373
"[0.5, 100.0, 0.005]",physicalattributes,0,374
"[0.8, 80.0, 0.01]",physicalattributes,1,374
"[0.3, 120.0, 0.0025]",categories,2,374
"[0.9, 90.0, 0.012]",physicalattributes,3,374
"[0.4, 110.0, 0.0035]",categories,4,374
"[0.7, 70.0, 0.01]",physicalattributes,5,374
"[0.2, 130.0, 0.0015]",categories,6,374
"[0.6, 60.0, 0.008]",physicalattributes,7,374
"[0.1, 140.0, 0.0007]",categories,8,374
"[0.5, 100.0, 0.005]",physicalattributes,9,374
"[0.3, 110.0, 0.0027]",categories,10,374
"[0.8, 80.0, 0.011]",physicalattributes,11,374
"[0.4, 120.0, 0.0032]",categories,12,374
"[0.9, 90.0, 0.013]",physicalattributes,13,374
"[0.7, 70.0, 0.009]",physicalattributes,14,374
"[0.2, 130.0, 0.0012]",categories,15,374
"[0.6, 60.0, 0.007]",physicalattributes,16,374
"[0.1, 140.0, 0.0009]",categories,17,374
"[0.5, 100.0, 0.0045]",physicalattributes,18,374
"[0.8, 80.0, 0.01]",physicalattributes,19,374
"[0.4, 110.0, 0.003]",categories,20,374
"[0.9, 90.0, 0.0125]",physicalattributes,21,374
"[0.7, 70.0, 0.0085]",physicalattributes,22,374
"[0.2, 130.0, 0.0018]",categories,23,374
"[0.6, 60.0, 0.0065]",physicalattributes,24,374
"[0.1, 140.0, 0.001]",categories,25,374
"[0.5, 100.0, 0.004]",physicalattributes,26,374
"[0.8, 80.0, 0.0095]",physicalattributes,27,374
"[0.4, 110.0, 0.0028]",categories,28,374
"[0.9, 90.0, 0.0115]",physicalattributes,29,374
"[0.7, 70.0, 0.0075]",physicalattributes,30,374
"[0.2, 130.0, 0.001]",categories,31,374
"[0.6, 60.0, 0.0055]",physicalattributes,32,374
"[0.1, 140.0, 0.0008]",categories,33,374
"[0.5, 100.0, 0.0035]",physicalattributes,34,374
"[0.8, 80.0, 0.0085]",physicalattributes,35,374
"[0.4, 110.0, 0.0022]",categories,36,374
"[0.9, 90.0, 0.01]",physicalattributes,37,374
"[0.7, 70.0, 0.006]",physicalattributes,38,374
"[0.2, 130.0, 0.0015]",categories,39,374
"[0.6, 60.0, 0.004]",physicalattributes,40,374
"[0.1, 140.0, 0.0006]",categories,41,374
"[0.5, 100.0, 0.003]",physicalattributes,42,374
"[0.8, 80.0, 0.007]",physicalattributes,43,374
"[0.4, 110.0, 0.0025]",categories,44,374
"[0.9, 90.0, 0.009]",physicalattributes,45,374
"[0.7, 70.0, 0.0055]",physicalattributes,46,374
"[0.2, 130.0, 0.0012]",categories,47,374
"[0.6, 60.0, 0.0035]",physicalattributes,48,374
"[0.1, 140.0, 0.0005]",categories,49,374
"[0.5, 100.0, 0.0028]",physicalattributes,50,374
"[0.8, 80.0, 0.0065]",physicalattributes,51,374
"[0.4, 110.0, 0.002]",categories,52,374
"[0.9, 90.0, 0.008]",physicalattributes,53,374
"[0.7, 70.0, 0.005]",physicalattributes,54,374
"[0.2, 130.0, 0.001]",categories,55,374
"[0.6, 60.0, 0.003]",physicalattributes,56,374
"[0.1, 140.0, 0.0004]",categories,57,374
"[0.5, 100.0, 0.0025]",physicalattributes,58,374
"[0.8, 80.0, 0.006]",physicalattributes,59,374
"[0.4, 110.0, 0.0018]",categories,60,374
"[0.9, 90.0, 0.0075]",physicalattributes,61,374
"[0.7, 70.0, 0.0045]",physicalattributes,62,374
"[0.2, 130.0, 0.0008]",categories,63,374
"[0.6, 60.0, 0.0025]",physicalattributes,64,374
"[0.1, 140.0, 0.0003]",categories,65,374
"[0.5, 100.0, 0.0022]",physicalattributes,66,374
"[0.8, 80.0, 0.0055]",physicalattributes,67,374
"[0.4, 110.0, 0.0015]",categories,68,374
"[0.9, 90.0, 0.007]",physicalattributes,69,374
"[0.7, 70.0, 0.004]",physicalattributes,70,374
"[0.2, 130.0, 0.0006]",categories,71,374
"[0.6, 60.0, 0.002]",physicalattributes,72,374
"[0.1, 140.0, 0.0002]",categories,73,374
"[0.5, 100.0, 0.002]",physicalattributes,74,374
"[0.8, 80.0, 0.005]",physicalattributes,75,374
"[0.4, 110.0, 0.0012]",categories,76,374
"[0.9, 90.0, 0.0065]",physicalattributes,77,374
"[0.7, 70.0, 0.0035]",physicalattributes,78,374
"[0.2, 130.0, 0.0004]",categories,79,374
"[0.6, 60.0, 0.0018]",physicalattributes,80,374
"[0.1, 140.0, 0.0001]",categories,81,374
"[0.5, 100.0, 0.0018]",physicalattributes,82,374
"[0.8, 80.0, 0.0045]",physicalattributes,83,374
"[0.4, 110.0, 0.001]",categories,84,374
"[0.9, 90.0, 0.006]",physicalattributes,85,374
"[0.7, 70.0, 0.003]",physicalattributes,86,374
"[0.2, 130.0, 0.0002]",categories,87,374
"[0.6, 60.0, 0.0015]",physicalattributes,88,374
"[0.1, 140.0, 0.0]",categories,89,374
"[0.5, 100.0, 0.0015]",physicalattributes,90,374
"[0.8, 80.0, 0.004]",physicalattributes,91,374
"[0.4, 110.0, 0.0008]",categories,92,374
"[0.9, 90.0, 0.0055]",physicalattributes,93,374
"[0.7, 70.0, 0.0025]",physicalattributes,94,374
"[0.2, 130.0, 0.0001]",categories,95,374
"[0.6, 60.0, 0.0012]",physicalattributes,96,374
"[0.5, 100.0, 0.0012]",physicalattributes,97,374
"[0.8, 80.0, 0.0035]",physicalattributes,98,374
"[3.5, 7.0, 1.75]",circledimensions,0,375
"[4.2, 8.4, 2.1]",circledimensions,1,375
"[5.8, 11.6, 2.9]",circledimensions,2,375
"[2.9, 5.8, 1.45]",geometricforms,3,375
"[3.1, 6.2, 1.55]",geometricforms,4,375
"[4.5, 9.0, 2.25]",circledimensions,5,375
"[3.8, 7.6, 1.9]",circledimensions,6,375
"[2.5, 5.0, 1.25]",geometricforms,7,375
"[4.8, 9.6, 2.4]",circledimensions,8,375
"[3.2, 6.4, 1.6]",geometricforms,9,375
"[5.2, 10.4, 2.6]",circledimensions,10,375
"[2.8, 5.6, 1.4]",geometricforms,11,375
"[4.1, 8.2, 2.05]",circledimensions,12,375
"[3.5, 7.0, 1.75]",circledimensions,13,375
"[2.2, 4.4, 1.1]",geometricforms,14,375
"[4.9, 9.8, 2.45]",circledimensions,15,375
"[3.9, 7.8, 1.95]",circledimensions,16,375
"[2.6, 5.2, 1.3]",geometricforms,17,375
"[5.5, 11.0, 2.75]",circledimensions,18,375
"[3.3, 6.6, 1.65]",geometricforms,19,375
"[4.3, 8.6, 2.15]",circledimensions,20,375
"[2.4, 4.8, 1.2]",geometricforms,21,375
"[5.1, 10.2, 2.55]",circledimensions,22,375
"[3.6, 7.2, 1.8]",circledimensions,23,375
"[2.1, 4.2, 1.05]",geometricforms,24,375
"[4.6, 9.2, 2.3]",circledimensions,25,375
"[3.4, 6.8, 1.7]",geometricforms,26,375
"[5.3, 10.6, 2.65]",circledimensions,27,375
"[2.7, 5.4, 1.35]",geometricforms,28,375
"[4.2, 8.4, 2.1]",circledimensions,29,375
"[3.8, 7.6, 1.9]",circledimensions,30,375
"[2.3, 4.6, 1.15]",geometricforms,31,375
"[5.6, 11.2, 2.8]",circledimensions,32,375
"[3.9, 7.8, 1.95]",circledimensions,33,375
"[2.5, 5.0, 1.25]",geometricforms,34,375
"[4.7, 9.4, 2.35]",circledimensions,35,375
"[3.2, 6.4, 1.6]",geometricforms,36,375
"[5.0, 10.0, 2.5]",circledimensions,37,375
"[2.8, 5.6, 1.4]",geometricforms,38,375
"[4.1, 8.2, 2.05]",circledimensions,39,375
"[3.6, 7.2, 1.8]",circledimensions,40,375
"[2.2, 4.4, 1.1]",geometricforms,41,375
"[5.4, 10.8, 2.7]",circledimensions,42,375
"[3.4, 6.8, 1.7]",geometricforms,43,375
"[2.6, 5.2, 1.3]",geometricforms,44,375
"[4.8, 9.6, 2.4]",circledimensions,45,375
"[3.5, 7.0, 1.75]",circledimensions,46,375
"[2.4, 4.8, 1.2]",geometricforms,47,375
"[5.7, 11.4, 2.85]",circledimensions,48,375
"[3.9, 7.8, 1.95]",circledimensions,49,375
"[2.1, 4.2, 1.05]",geometricforms,50,375
"[4.5, 9.0, 2.25]",circledimensions,51,375
"[3.3, 6.6, 1.65]",geometricforms,52,375
"[5.2, 10.4, 2.6]",circledimensions,53,375
"[2.7, 5.4, 1.35]",geometricforms,54,375
"[4.3, 8.6, 2.15]",circledimensions,55,375
"[3.8, 7.6, 1.9]",circledimensions,56,375
"[2.3, 4.6, 1.15]",geometricforms,57,375
"[5.5, 11.0, 2.75]",circledimensions,58,375
"[3.4, 6.8, 1.7]",geometricforms,59,375
"[2.5, 5.0, 1.25]",geometricforms,60,375
"[4.9, 9.8, 2.45]",circledimensions,61,375
"[3.6, 7.2, 1.8]",circledimensions,62,375
"[2.2, 4.4, 1.1]",geometricforms,63,375
"[5.1, 10.2, 2.55]",circledimensions,64,375
"[3.9, 7.8, 1.95]",circledimensions,65,375
"[2.6, 5.2, 1.3]",geometricforms,66,375
"[4.7, 9.4, 2.35]",circledimensions,67,375
"[3.2, 6.4, 1.6]",geometricforms,68,375
"[5.3, 10.6, 2.65]",circledimensions,69,375
"[2.8, 5.6, 1.4]",geometricforms,70,375
"[4.2, 8.4, 2.1]",circledimensions,71,375
"[3.5, 7.0, 1.75]",circledimensions,72,375
"[2.4, 4.8, 1.2]",geometricforms,73,375
"[5.6, 11.2, 2.8]",circledimensions,74,375
"[3.4, 6.8, 1.7]",geometricforms,75,375
"[2.1, 4.2, 1.05]",geometricforms,76,375
"[4.6, 9.2, 2.3]",circledimensions,77,375
"[3.8, 7.6, 1.9]",circledimensions,78,375
"[2.5, 5.0, 1.25]",geometricforms,79,375
"[5.4, 10.8, 2.7]",circledimensions,80,375
"[3.6, 7.2, 1.8]",circledimensions,81,375
"[2.2, 4.4, 1.1]",geometricforms,82,375
"[4.8, 9.6, 2.4]",circledimensions,83,375
"[3.3, 6.6, 1.65]",geometricforms,84,375
"[2.6, 5.2, 1.3]",geometricforms,85,375
"[5.0, 10.0, 2.5]",circledimensions,86,375
"[3.9, 7.8, 1.95]",circledimensions,87,375
"[2.3, 4.6, 1.15]",geometricforms,88,375
"[4.5, 9.0, 2.25]",circledimensions,89,375
"[3.4, 6.8, 1.7]",geometricforms,90,375
"[2.7, 5.4, 1.35]",geometricforms,91,375
"[5.7, 11.4, 2.85]",circledimensions,92,375
"[3.6, 7.2, 1.8]",circledimensions,93,375
"[2.1, 4.2, 1.05]",geometricforms,94,375
"[4.3, 8.6, 2.15]",circledimensions,95,375
"[3.8, 7.6, 1.9]",circledimensions,96,375
"[2.5, 5.0, 1.25]",geometricforms,97,375
"[5.2, 10.4, 2.6]",circledimensions,98,375
"[3.9, 7.8, 1.95]",circledimensions,99,375
"[2.0, 0.0, 4.0]",anatomicaltraits,0,376
"[4.0, 1.0, 6.0]",animalgroups,1,376
"[1.0, 2.0, 3.0]",anatomicaltraits,2,376
"[3.0, 0.0, 5.0]",anatomicaltraits,3,376
"[0.0, 4.0, 2.0]",animalgroups,4,376
"[2.0, 3.0, 4.0]",anatomicaltraits,5,376
"[5.0, 1.0, 7.0]",animalgroups,6,376
"[1.0, 0.0, 3.0]",anatomicaltraits,7,376
"[4.0, 2.0, 6.0]",animalgroups,8,376
"[3.0, 1.0, 5.0]",anatomicaltraits,9,376
"[0.0, 3.0, 2.0]",animalgroups,10,376
"[2.0, 4.0, 4.0]",anatomicaltraits,11,376
"[5.0, 0.0, 7.0]",animalgroups,12,376
"[1.0, 1.0, 3.0]",anatomicaltraits,13,376
"[3.0, 2.0, 5.0]",animalgroups,14,376
"[4.0, 3.0, 6.0]",anatomicaltraits,15,376
"[2.0, 0.0, 4.0]",anatomicaltraits,16,376
"[0.0, 1.0, 2.0]",animalgroups,17,376
"[5.0, 2.0, 7.0]",animalgroups,18,376
"[1.0, 3.0, 3.0]",anatomicaltraits,19,376
"[3.0, 4.0, 5.0]",anatomicaltraits,20,376
"[2.0, 1.0, 4.0]",anatomicaltraits,21,376
"[0.0, 2.0, 2.0]",animalgroups,22,376
"[4.0, 0.0, 6.0]",anatomicaltraits,23,376
"[1.0, 2.0, 3.0]",anatomicaltraits,24,376
"[5.0, 3.0, 7.0]",animalgroups,25,376
"[3.0, 1.0, 5.0]",anatomicaltraits,26,376
"[2.0, 4.0, 4.0]",anatomicaltraits,27,376
"[0.0, 0.0, 2.0]",animalgroups,28,376
"[4.0, 2.0, 6.0]",animalgroups,29,376
"[1.0, 0.0, 3.0]",anatomicaltraits,30,376
"[3.0, 3.0, 5.0]",anatomicaltraits,31,376
"[5.0, 1.0, 7.0]",animalgroups,32,376
"[2.0, 2.0, 4.0]",anatomicaltraits,33,376
"[0.0, 3.0, 2.0]",animalgroups,34,376
"[4.0, 4.0, 6.0]",anatomicaltraits,35,376
"[1.0, 1.0, 3.0]",anatomicaltraits,36,376
"[3.0, 2.0, 5.0]",animalgroups,37,376
"[2.0, 0.0, 4.0]",anatomicaltraits,38,376
"[5.0, 2.0, 7.0]",animalgroups,39,376
"[0.0, 1.0, 2.0]",animalgroups,40,376
"[4.0, 3.0, 6.0]",anatomicaltraits,41,376
"[1.0, 3.0, 3.0]",anatomicaltraits,42,376
"[3.0, 4.0, 5.0]",anatomicaltraits,43,376
"[2.0, 1.0, 4.0]",anatomicaltraits,44,376
"[0.0, 2.0, 2.0]",animalgroups,45,376
"[5.0, 3.0, 7.0]",animalgroups,46,376
"[4.0, 0.0, 6.0]",anatomicaltraits,47,376
"[1.0, 2.0, 3.0]",anatomicaltraits,48,376
"[3.0, 1.0, 5.0]",anatomicaltraits,49,376
"[2.0, 4.0, 4.0]",anatomicaltraits,50,376
"[0.0, 0.0, 2.0]",animalgroups,51,376
"[4.0, 2.0, 6.0]",animalgroups,52,376
"[1.0, 0.0, 3.0]",anatomicaltraits,53,376
"[3.0, 3.0, 5.0]",anatomicaltraits,54,376
"[5.0, 1.0, 7.0]",animalgroups,55,376
"[2.0, 2.0, 4.0]",anatomicaltraits,56,376
"[0.0, 3.0, 2.0]",animalgroups,57,376
"[4.0, 4.0, 6.0]",anatomicaltraits,58,376
"[1.0, 1.0, 3.0]",anatomicaltraits,59,376
"[3.0, 2.0, 5.0]",animalgroups,60,376
"[2.0, 0.0, 4.0]",anatomicaltraits,61,376
"[5.0, 2.0, 7.0]",animalgroups,62,376
"[0.0, 1.0, 2.0]",animalgroups,63,376
"[4.0, 3.0, 6.0]",anatomicaltraits,64,376
"[1.0, 3.0, 3.0]",anatomicaltraits,65,376
"[3.0, 4.0, 5.0]",anatomicaltraits,66,376
"[2.0, 1.0, 4.0]",anatomicaltraits,67,376
"[0.0, 2.0, 2.0]",animalgroups,68,376
"[5.0, 3.0, 7.0]",animalgroups,69,376
"[4.0, 0.0, 6.0]",anatomicaltraits,70,376
"[1.0, 2.0, 3.0]",anatomicaltraits,71,376
"[3.0, 1.0, 5.0]",anatomicaltraits,72,376
"[2.0, 4.0, 4.0]",anatomicaltraits,73,376
"[0.0, 0.0, 2.0]",animalgroups,74,376
"[4.0, 2.0, 6.0]",animalgroups,75,376
"[1.0, 0.0, 3.0]",anatomicaltraits,76,376
"[3.0, 3.0, 5.0]",anatomicaltraits,77,376
"[5.0, 1.0, 7.0]",animalgroups,78,376
"[2.0, 2.0, 4.0]",anatomicaltraits,79,376
"[0.0, 3.0, 2.0]",animalgroups,80,376
"[4.0, 4.0, 6.0]",anatomicaltraits,81,376
"[1.0, 1.0, 3.0]",anatomicaltraits,82,376
"[3.0, 2.0, 5.0]",animalgroups,83,376
"[2.0, 0.0, 4.0]",anatomicaltraits,84,376
"[5.0, 2.0, 7.0]",animalgroups,85,376
"[0.0, 1.0, 2.0]",animalgroups,86,376
"[4.0, 3.0, 6.0]",anatomicaltraits,87,376
"[1.0, 3.0, 3.0]",anatomicaltraits,88,376
"[3.0, 4.0, 5.0]",anatomicaltraits,89,376
"[2.0, 1.0, 4.0]",anatomicaltraits,90,376
"[0.0, 2.0, 2.0]",animalgroups,91,376
"[5.0, 3.0, 7.0]",animalgroups,92,376
"[4.0, 0.0, 6.0]",anatomicaltraits,93,376
"[1.0, 2.0, 3.0]",anatomicaltraits,94,376
"[3.0, 1.0, 5.0]",anatomicaltraits,95,376
"[2.0, 4.0, 4.0]",anatomicaltraits,96,376
"[0.0, 0.0, 2.0]",animalgroups,97,376
"[4.0, 2.0, 6.0]",animalgroups,98,376
"[1.0, 0.0, 3.0]",anatomicaltraits,99,376
"[3.21, 1.98, 0.85]",senses,0,377
"[2.15, 1.42, 0.61]",perceptions,1,377
"[3.51, 2.11, 0.92]",senses,2,377
"[1.83, 1.69, 0.78]",perceptions,3,377
"[2.93, 1.85, 0.97]",senses,4,377
"[2.41, 1.56, 0.74]",perceptions,5,377
"[3.08, 2.03, 0.89]",senses,6,377
"[2.67, 1.92, 0.83]",perceptions,7,377
"[3.44, 2.29, 0.99]",senses,8,377
"[2.19, 1.73, 0.81]",perceptions,9,377
"[2.85, 1.99, 0.87]",senses,10,377
"[2.51, 1.85, 0.79]",perceptions,11,377
"[3.23, 2.15, 0.93]",senses,12,377
"[2.33, 1.67, 0.76]",perceptions,13,377
"[2.98, 2.05, 0.91]",senses,14,377
"[2.63, 1.93, 0.84]",perceptions,15,377
"[3.56, 2.33, 1.01]",senses,16,377
"[2.45, 1.81, 0.82]",perceptions,17,377
"[3.11, 2.01, 0.9]",senses,18,377
"[2.71, 1.97, 0.86]",perceptions,19,377
"[2.36, 1.75, 0.8]",perceptions,20,377
"[3.29, 2.19, 0.95]",senses,21,377
"[2.53, 1.89, 0.85]",perceptions,22,377
"[3.04, 2.07, 0.92]",senses,23,377
"[2.69, 1.95, 0.87]",perceptions,24,377
"[2.88, 2.03, 0.9]",senses,25,377
"[2.41, 1.83, 0.81]",perceptions,26,377
"[3.47, 2.27, 0.98]",senses,27,377
"[2.61, 1.91, 0.84]",perceptions,28,377
"[3.19, 2.13, 0.94]",senses,29,377
"[2.35, 1.79, 0.82]",perceptions,30,377
"[2.95, 2.09, 0.93]",senses,31,377
"[2.73, 1.99, 0.88]",perceptions,32,377
"[3.62, 2.39, 1.02]",senses,33,377
"[2.49, 1.87, 0.85]",perceptions,34,377
"[3.32, 2.23, 0.97]",senses,35,377
"[2.65, 1.95, 0.87]",perceptions,36,377
"[2.28, 1.73, 0.8]",perceptions,37,377
"[3.06, 2.11, 0.93]",senses,38,377
"[2.79, 2.01, 0.89]",perceptions,39,377
"[2.43, 1.83, 0.82]",perceptions,40,377
"[3.39, 2.29, 0.99]",senses,41,377
"[2.59, 1.91, 0.85]",perceptions,42,377
"[3.13, 2.15, 0.95]",senses,43,377
"[2.71, 1.97, 0.88]",perceptions,44,377
"[2.9, 2.05, 0.92]",senses,45,377
"[2.39, 1.81, 0.83]",perceptions,46,377
"[3.5, 2.33, 1.01]",senses,47,377
"[2.63, 1.93, 0.87]",perceptions,48,377
"[3.25, 2.21, 0.96]",senses,49,377
"[2.47, 1.87, 0.85]",perceptions,50,377
"[2.97, 2.09, 0.93]",senses,51,377
"[2.75, 2.0, 0.9]",perceptions,52,377
"[3.68, 2.43, 1.03]",senses,53,377
"[2.55, 1.91, 0.87]",perceptions,54,377
"[3.04, 2.11, 0.94]",senses,55,377
"[2.39, 1.83, 0.82]",perceptions,56,377
"[3.42, 2.31, 1.0]",senses,57,377
"[2.69, 1.97, 0.89]",perceptions,58,377
"[2.85, 2.03, 0.92]",senses,59,377
"[2.43, 1.85, 0.84]",perceptions,60,377
"[3.31, 2.25, 0.98]",senses,61,377
"[2.61, 1.93, 0.87]",perceptions,62,377
"[2.29, 1.79, 0.81]",perceptions,63,377
"[3.08, 2.13, 0.95]",senses,64,377
"[2.73, 2.0, 0.9]",perceptions,65,377
"[2.94, 2.07, 0.93]",senses,66,377
"[2.47, 1.89, 0.86]",perceptions,67,377
"[3.56, 2.37, 1.02]",senses,68,377
"[2.63, 1.95, 0.88]",perceptions,69,377
"[3.22, 2.19, 0.96]",senses,70,377
"[2.53, 1.91, 0.87]",perceptions,71,377
"[2.99, 2.11, 0.94]",senses,72,377
"[2.39, 1.85, 0.84]",perceptions,73,377
"[3.49, 2.33, 1.01]",senses,74,377
"[2.71, 1.99, 0.9]",perceptions,75,377
"[2.86, 2.05, 0.93]",senses,76,377
"[2.45, 1.89, 0.87]",perceptions,77,377
"[3.36, 2.29, 0.99]",senses,78,377
"[2.61, 1.95, 0.88]",perceptions,79,377
"[3.14, 2.17, 0.95]",senses,80,377
"[2.49, 1.91, 0.87]",perceptions,81,377
"[2.92, 2.09, 0.94]",senses,82,377
"[2.75, 2.01, 0.91]",perceptions,83,377
"[3.61, 2.41, 1.03]",senses,84,377
"[2.57, 1.93, 0.88]",perceptions,85,377
"[3.05, 2.13, 0.95]",senses,86,377
"[2.41, 1.87, 0.85]",perceptions,87,377
"[3.44, 2.33, 1.01]",senses,88,377
"[2.69, 1.99, 0.9]",perceptions,89,377
"[2.89, 2.07, 0.93]",senses,90,377
"[2.45, 1.91, 0.87]",perceptions,91,377
"[3.32, 2.27, 0.98]",senses,92,377
"[2.63, 1.97, 0.89]",perceptions,93,377
"[2.29, 1.83, 0.82]",perceptions,94,377
"[3.11, 2.17, 0.96]",senses,95,377
"[2.73, 2.03, 0.92]",perceptions,96,377
"[2.95, 2.11, 0.95]",senses,97,377
"[2.51, 1.93, 0.88]",perceptions,98,377
"[3.59, 2.41, 1.03]",senses,99,377
"[3.0, 6.0, 2.0]",instrumentalgroups,0,378
"[5.0, 4.0, 1.0]",musicalensembles,1,378
"[2.0, 8.0, 3.0]",instrumentalgroups,2,378
"[4.0, 5.0, 2.0]",instrumentalgroups,3,378
"[6.0, 3.0, 5.0]",musicalensembles,4,378
"[1.0, 9.0, 4.0]",instrumentalgroups,5,378
"[7.0, 2.0, 6.0]",musicalensembles,6,378
"[3.0, 7.0, 1.0]",instrumentalgroups,7,378
"[5.0, 6.0, 3.0]",musicalensembles,8,378
"[2.0, 4.0, 8.0]",instrumentalgroups,9,378
"[9.0, 1.0, 7.0]",musicalensembles,10,378
"[6.0, 8.0, 2.0]",instrumentalgroups,11,378
"[4.0, 3.0, 9.0]",musicalensembles,12,378
"[1.0, 5.0, 6.0]",instrumentalgroups,13,378
"[8.0, 2.0, 4.0]",musicalensembles,14,378
"[3.0, 9.0, 5.0]",instrumentalgroups,15,378
